fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
mid,listed,SKC,011790,KOSPI,기타 화학제품 제조업,SK,http://www.skc.kr,김종우,1997-07-18,Y,수집:T0 CI AI
mid,listed,LG디스플레이,034220,KOSPI,전자부품 제조업,LG,http://www.lgdisplay.com,정철동,2004-07-23,,
mid,listed,SK바이오팜,326030,KOSPI,자연과학 및 공학 연구개발업,SK,,이동훈,2020-07-02,,
mid,listed,HD건설기계,267270,KOSPI,특수 목적용 기계 제조업,,http://www.hd-hyundaice.com,문재영,2017-05-10,,
mid,listed,LG유플러스,032640,KOSPI,전기 통신업,LG,http://www.uplus.co.kr,홍범식,2008-04-21,Y,
mid,listed,GS,078930,KOSPI,기타 금융업,GS,,"허태수, 홍순기 (각자 대표이사)",2004-08-05,,
mid,listed,신세계,004170,KOSPI,종합 소매업,신세계,http://www.shinsegae.com,박주형,1985-08-19,,
mid,listed,아모레퍼시픽,090430,KOSPI,기타 화학제품 제조업,아모레퍼시픽,http://www.apgroup.com,"서경배, 김승환",2006-06-29,Y,
mid,listed,한화솔루션,009830,KOSPI,기초 화학물질 제조업,한화,http://hcc.hanwha.co.kr,"박승덕, 남정운, 김동관",1974-06-19,,
mid,listed,코웨이,021240,KOSPI,그외 기타 개인 서비스업,,http://company.coway.com,서장원,2001-08-07,,
mid,listed,두산밥캣,241560,KOSPI,특수 목적용 기계 제조업,두산,http://www.doosanbobcat.com,"스캇성철박, 조덕제",2016-11-18,,
